epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.9948,1.35674,3.97892,1.56493,0.44447,0.42497,0.41456,0.24387,1.28854,5.32743,1.45707,0.00332508,0.00332508,0.00332508
2,161.505,1.35373,2.95708,1.50837,0.54229,0.50451,0.5237,0.32885,1.26289,4.38003,1.44395,0.0065925,0.0065925,0.0065925
3,239.788,1.46743,2.59525,1.58543,0.4619,0.48112,0.46814,0.26516,1.43303,3.21158,1.60531,0.00979391,0.00979391,0.00979391
4,318.433,1.55913,2.38353,1.64544,0.33655,0.476,0.27046,0.14852,1.54544,4.66377,1.72976,0.009703,0.009703,0.009703
5,396.605,1.53495,2.18888,1.61826,0.52331,0.55447,0.55574,0.34496,1.34362,2.61804,1.50825,0.009604,0.009604,0.009604
6,474.71,1.44242,1.98046,1.55213,0.75687,0.62721,0.69878,0.44534,1.26929,1.63188,1.44025,0.009505,0.009505,0.009505
7,553.081,1.40997,1.83966,1.53658,0.59721,0.57633,0.61649,0.39245,1.32699,1.83135,1.49474,0.009406,0.009406,0.009406
8,631.605,1.35789,1.71662,1.50053,0.6624,0.74465,0.75944,0.4902,1.18369,1.39568,1.38749,0.009307,0.009307,0.009307
9,710.013,1.33259,1.62938,1.47154,0.79756,0.6982,0.78535,0.52989,1.15351,1.51367,1.36476,0.009208,0.009208,0.009208
10,788.517,1.3039,1.55334,1.45002,0.80691,0.73366,0.7809,0.54529,1.16142,1.20754,1.30614,0.009109,0.009109,0.009109
11,866.863,1.29228,1.49471,1.44737,0.8202,0.75768,0.82708,0.56244,1.19816,1.16744,1.37601,0.00901,0.00901,0.00901
12,945.237,1.24098,1.43579,1.39928,0.85103,0.80136,0.8521,0.5962,1.12101,1.12993,1.29789,0.008911,0.008911,0.008911
13,1023.51,1.22939,1.37835,1.39177,0.82894,0.78322,0.86547,0.58713,1.10433,1.04338,1.28924,0.008812,0.008812,0.008812
14,1101.95,1.21114,1.35204,1.37659,0.86129,0.80898,0.8848,0.63447,1.0383,0.91097,1.2328,0.008713,0.008713,0.008713
15,1180.33,1.20126,1.33352,1.37375,0.83547,0.83913,0.8759,0.63628,1.03581,0.90404,1.22783,0.008614,0.008614,0.008614
16,1258.71,1.19013,1.28245,1.3586,0.82341,0.77709,0.85711,0.60348,1.06225,0.98077,1.25896,0.008515,0.008515,0.008515
17,1337.06,1.16856,1.22395,1.34375,0.85567,0.81261,0.87975,0.64019,1.02872,0.91342,1.21049,0.008416,0.008416,0.008416
18,1415.55,1.14769,1.2064,1.32898,0.87342,0.81899,0.89717,0.64702,1.00773,0.83355,1.20325,0.008317,0.008317,0.008317
19,1494.22,1.12839,1.18688,1.31866,0.89981,0.86,0.90433,0.64614,1.02557,0.86848,1.22198,0.008218,0.008218,0.008218
20,1572.72,1.12305,1.17378,1.30566,0.92335,0.83616,0.90176,0.66018,0.98713,0.8148,1.20399,0.008119,0.008119,0.008119
21,1650.89,1.11151,1.12761,1.30037,0.86854,0.88399,0.90564,0.6784,0.98458,0.80764,1.17566,0.00802,0.00802,0.00802
